,acc,recall,precision,f1,confusion,loss
maxfiltercnn,0.8361038604203874,0.68927304964539,0.7596482657547631,0.7227515686730188,"[[4531  492]
 [ 701 1555]]",0.005864393250073259
lstm1,0.8442093694188763,0.738031914893617,0.7540760869565217,0.7459677419354839,"[[4480  543]
 [ 591 1665]]",0.0056815690875692115
lstm,0.8492924852314878,0.7442375886524822,0.7635288767621646,0.753759820426487,"[[4503  520]
 [ 577 1679]]",0.005634709889703046
lstm0,0.8181068828135732,0.6223404255319149,0.7484008528784648,0.6795740561471442,"[[4551  472]
 [ 852 1404]]",0.006431805791067445
attns,0.852589641434263,0.7473404255319149,0.7702147099132024,0.758605174353206,"[[4520  503]
 [ 570 1686]]",0.00551118643455149
lstm2,0.8462700920456107,0.7406914893617021,0.7578231292517007,0.7491593813046402,"[[4489  534]
 [ 585 1671]]",0.005583285755190094
resnext,0.826761917845858,0.5926418439716312,0.7963073257891602,0.6795425667090217,"[[4681  342]
 [ 919 1337]]",0.006255251946710004
resnet,0.837752438521775,0.651595744680851,0.7882037533512064,0.7134190730405242,"[[4628  395]
 [ 786 1470]]",0.005991078658342394
attns0,0.7865091358703119,0.5226063829787234,0.7119565217391305,0.602760736196319,"[[4546  477]
 [1077 1179]]",0.0071284932198637805
attns1,0.8514905893666712,0.7553191489361702,0.7630989699955217,0.7591891289819558,"[[4494  529]
 [ 552 1704]]",0.005524423128465552
attns2,0.8476439071301003,0.7526595744680851,0.7550022232103157,0.7538290788013319,"[[4472  551]
 [ 558 1698]]",0.005577712634923547
